row ,county_name,state_abbr,votes_total,votes_dem,votes_gop,combined_fips,per_dem,per_gop
618,Miller County,GA,2770,848,1904,13201,0.306137184,0.687364621
619,Mitchell County,GA,8273,4081,4153,13205,0.49329143,0.50199444
620,Monroe County,GA,12259,3779,8352,13207,0.308263317,0.681295375
621,Montgomery County,GA,3831,1135,2662,13209,0.296267293,0.694857739
622,Morgan County,GA,9016,2751,6178,13211,0.305124224,0.685226264
623,Murray County,GA,11209,2542,8439,13213,0.22678205,0.752877152
624,Muscogee County,GA,70410,42458,27469,13215,0.603010936,0.390129243
625,Newton County,GA,43216,21844,20979,13217,0.50546094,0.485445205
626,Oconee County,GA,16643,4140,12222,13219,0.24875323,0.734362795
627,Oglethorpe County,GA,6258,1913,4250,13221,0.305688718,0.679130713
628,Paulding County,GA,57254,15779,40771,13223,0.275596465,0.712107451
629,Peach County,GA,11499,6141,5280,13225,0.534046439,0.459170363
630,Pickens County,GA,12673,1975,10547,13227,0.155843131,0.832241774
631,Pierce County,GA,6845,1124,5666,13229,0.164207451,0.827757487
632,Pike County,GA,8099,1355,6660,13231,0.167304606,0.822323744
633,Polk County,GA,13580,3608,9798,13233,0.265684831,0.721502209
634,Pulaski County,GA,3681,1219,2444,13235,0.331160011,0.663950014
635,Putnam County,GA,9205,2917,6210,13237,0.316892993,0.674633351
636,Quitman County,GA,1128,612,510,13239,0.542553191,0.45212766
637,Rabun County,GA,7438,1558,5753,13241,0.20946491,0.773460608
638,Randolph County,GA,3015,1749,1249,13243,0.580099502,0.414262023
639,Richmond County,GA,78865,52461,25821,13245,0.665200025,0.327407595
640,Rockdale County,GA,37879,21878,15671,13247,0.577575966,0.413712083
641,Schley County,GA,1748,448,1286,13249,0.256292906,0.735697941
642,Screven County,GA,6093,2769,3285,13251,0.454455933,0.539143279
643,Seminole County,GA,3765,1475,2244,13253,0.391766268,0.596015936
644,Spalding County,GA,25057,9884,14901,13255,0.39446063,0.59468412
645,Stephens County,GA,9467,2123,7207,13257,0.224252667,0.761276011
646,Stewart County,GA,2055,1307,740,13259,0.636009732,0.360097324
647,Sumter County,GA,11820,6370,5372,13261,0.53891709,0.454483926
648,Talbot County,GA,3490,2264,1202,13263,0.648710602,0.344412607
649,Taliaferro County,GA,961,636,321,13265,0.661810614,0.334027055
650,Tattnall County,GA,6658,1894,4702,13267,0.284469811,0.706218084
651,Taylor County,GA,3537,1571,1948,13269,0.444161719,0.550749223
652,Telfair County,GA,4334,1804,2479,13271,0.416243655,0.571988925
653,Terrell County,GA,4398,2544,1834,13273,0.578444748,0.417007731
654,Thomas County,GA,18943,7651,11153,13275,0.403895898,0.588766299
655,Tift County,GA,13893,4640,9171,13277,0.333981142,0.660116605
656,Toombs County,GA,9333,2740,6519,13279,0.293581914,0.698489232
